CompanyName,MarketCap,EmployeesTotalAmount
Hilton Worldwide Holdings Inc.,"Marriott International, Inc.","142,000"
WuXi AppTec,Thermo Fisher Scientific,"34,912"
Sysco Corporation,"Jerónimo Martins, SGPS, SA","58,000"
The Kroger Co.,Seven & i Holdings Co. Ltd,"500,000"
Manulife Financial Corporation,Ping An Insurance,"38,000"
BioNTech SE,Novo Nordisk,"2,800"
STMicroelectronics N.V.,Nvidia,"48,254"
Devon Energy Corporation,ConocoPhillips,"1,600"
"The Williams Companies, Inc.",Enbridge Inc.,"4,783"
The Allstate Corporation,Chubb Limited,"54,300"
Hang Seng Bank Limited,JPMorgan,"9,396"
Valero Energy Corporation,Marathon Petroleum Corporation,"9,794"
ING Groep N.V.,JPMorgan,"57,000"
MMC Norilsk Nickel PJSC,BHP,NAN
"Motorola Solutions, Inc.",Cisco,"18,700"
"East Money Information Co.,Ltd.",Alphabet,"5,696"
The Bank of New York Mellon Corporation,BlackRock,"49,100"
Carrier Global Corporation,"Daikin Industries,Ltd.","58,000"
Oversea-Chinese Banking Corp Ltd,JPMorgan,"29,622"
"Digital Realty Trust, Inc.","Alexandria Real Estate Equities, Inc.","3,030"
"Walgreens Boots Alliance, Inc.",Raia Drogasil SA,"202,000"
"Agilent Technologies, Inc.",Thermo Fisher Scientific,"17,200"
Global Payments Inc.,Cintas Corporation,"25,000"
CITIC Securities Company Ltd,Morgan Stanley,"11,380"
Baxter International Inc.,EssilorLuxottica SA,"60,000"
BOC Hong Kong Holdings Ltd,JPMorgan,"14,462"
MSCI Inc.,S&P Global Inc.,"4,303"
Welltower Inc.,"Ventas, Inc.",464
Xcel Energy Inc.,NextEra Energy,"11,321"
United Overseas Bank Ltd,JPMorgan,"24,346"
Wanhua Chemical Group Co. Ltd,Saudi Basic Industries Corp,"19,692"
"DuPont de Nemours, Inc.",Saudi Basic Industries Corp,"28,000"
EQT AB,BlackRock,"1,059"
Alimentation Couche-Tard Inc.,Seven & i Holdings Co. Ltd,"98,000"
eBay Inc.,Amazon,"10,800"
Givaudan SA,Linde,"16,842"
Novozymes A-S,Saudi Basic Industries Corp,"6,184"
Prudential plc,Ping An Insurance,"23,000"
Alcon Inc.,EssilorLuxottica SA,"24,389"
Ecopetrol SA,Aramco,"18,000"
Baker Hughes Company,Schlumberger Limited,"54,000"
"Banco Bilbao Vizcaya Argentaria, SA",JPMorgan,"110,432"
Dell Technologies Inc.,HP Inc.,"133,000"
Kuaishou Technology,Sirius XM Holdings Inc.,"27,125"
AB Volvo,John Deere,"92,144"
Crédit Agricole SA,JPMorgan,"75,975"
"Dollar Tree, Inc.",Walmart,"61,886"
SBA Communications Corporation,American Tower,"1,596"
Capgemini SE,Accenture,"324,700"
Daiichi Sankyo Company Ltd,Johnson & Johnson,"16,033"
Compass Group plc,McDonald's,"480,000"
Sartorius Stedim Biotech SA,EssilorLuxottica SA,"10,409"
PT Bank Rakyat Indonesia (Persero) Tbk,JPMorgan,"79,398"
Phillips 66,Marathon Petroleum Corporation,"14,000"
Electronic Arts Inc.,Sea Limited,"11,000"
Trane Technologies plc,Honeywell,"37,000"
SMC Corp,Honeywell,"20,619"
Parker-Hannifin Corporation,Honeywell,"54,640"
"Tokio Marine Holdings, Inc.",Chubb Limited,"43,257"
Jiangsu Hengrui Medicine Co. Ltd,Johnson & Johnson,"28,903"
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",Union Pacific,57
Munich Re,Swiss Re AG,"39,281"
"DoorDash, Inc.",Alphabet,"8,600"
Shanghai Pudong Development Bank Co. Ltd,JPMorgan,"61,686"
Constellation Software Inc.,Salesforce,"16,000"
Inner Mongolia Yili Industrial Group Co. Ltd,Foshan Haitian Flavouring and Food Company Ltd,"59,159"
TELUS Corporation,Verizon,"90,800"
Public Service Enterprise Group Incorporated,"Dominion Energy, Inc.","12,684"
TransDigm Group Incorporated,Raytheon Technologies,"13,300"
"Waste Connections, Inc.","Waste Management, Inc.","19,998"
LyondellBasell Industries N.V.,Linde,"19,100"
Danone SA,Foshan Haitian Flavouring and Food Company Ltd,"98,105"
"Cloudflare, Inc.",Microsoft,"2,440"
NIO Limited,Tesla,"7,763"
"Coinbase Global, Inc.",Salesforce,"3,730"
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",Kweichow Moutai,"12,614"
Neste Oyj,Marathon Petroleum Corporation,"4,719"
ResMed Inc.,EssilorLuxottica SA,"7,970"
Experian plc,IHS Markit Ltd.,"20,000"
"Intuitive Surgical, Inc.",EssilorLuxottica SA,"9,793"
Woolworths Group Limited,Seven & i Holdings Co. Ltd,"210,067"
MPLX LP,Enbridge Inc.,"1,139"
Telstra Corporation Limited,Verizon,"26,728"
Hexagon AB,Keyence,"22,097"
Generali,Allianz SE,"74,621"
"AvalonBay Communities, Inc.",Equity Residential,"2,839"
Imperial Oil Limited,Aramco,"5,400"
"Yum! Brands, Inc.",McDonald's,"36,000"
Sun Hung Kai Properties Ltd,Poly Developments and Holdings Group Co. Ltd,"38,500"
"Old Dominion Freight Line, Inc.",TFI International Inc.,"23,663"
"Cheniere Energy, Inc.",Enbridge Inc.,"1,550"
"Consolidated Edison, Inc.",NextEra Energy,"13,871"
China CITIC Bank Corp Ltd,JPMorgan,"57,062"
Budweiser Brewing Company APAC Ltd,Anheuser-Busch InBev SA/NV,"26,038"
ArcelorMittal,Nucor Corporation,"158,000"
"Ameriprise Financial, Inc.",BlackRock,"12,000"
Fastenal Company,Ferguson plc,"18,370"
"Align Technology, Inc.",Abbott,"22,540"
VERBUND AG,"EDP Renováveis, SA","2,870"
Sydney Airport Limited,Airports of Thailand Public Company Ltd,418
"Verisk Analytics, Inc.",IHS Markit Ltd.,"9,367"
Z Holdings Corp,Amazon,"22,531"
Arthur J. Gallagher & Co.,"Marsh & McLennan Companies, Inc.","39,000"
Chongqing Zhifei Biological Products Co. Ltd,Novo Nordisk,"3,380"
Equity Residential,"AvalonBay Communities, Inc.","2,400"
"Chunghwa Telecom Co., Ltd.",Verizon,"20,341"
"T. Rowe Price Group, Inc.",BlackRock,"7,529"
Halliburton Company,Schlumberger Limited,"40,000"
"Tyson Foods, Inc.",Archer-Daniels-Midland Company,"137,000"
Discover Financial Services,Visa,"16,700"
Kuehne + Nagel International AG,UPS,"73,516"
FANUC Corp,Honeywell,"8,256"
MTR Corp Ltd,Union Pacific,"31,968"
Poly Developments and Holdings Group Co. Ltd,Sun Hung Kai Properties Ltd,"61,201"
KKR & Co. Inc.,BlackRock,"3,238"
"Mizuho Financial Group, Inc.",JPMorgan,"54,492"
PTT PCL,Aramco,NAN
Koninklijke Ahold Delhaize N.V.,Seven & i Holdings Co. Ltd,"144,550"
China Vanke Co. Ltd,Sun Hung Kai Properties Ltd,"140,565"
International Flavors & Fragrances Inc.,Linde,"24,000"
Telefonaktiebolaget LM Ericsson,Cisco,"100,454"
China Resources Land Ltd,Sun Hung Kai Properties Ltd,"47,537"
"Zoom Video Communications, Inc.",Verizon,"6,787"
Otis Worldwide Corporation,Honeywell,"70,000"
Sun Life Financial Inc.,Allianz SE,"22,719"
