CompanyName,MarketCap,EmployeesTotalAmount
UniCredit S.p.A.,NAN,"80,879"
KBC Group NV,NAN,"33,916"
"Match Group, Inc.",NAN,"2,500"
Willis Towers Watson plc,NAN,"46,000"
Riyad Bank,NAN,"5,660"
Vestas Wind Systems A-S,NAN,"29,427"
Cummins Inc.,NAN,"59,900"
ASSA ABLOY AB,NAN,"51,000"
"Alexandria Real Estate Equities, Inc.",NAN,559
Saint-Gobain,NAN,"167,816"
"West Pharmaceutical Services, Inc.",NAN,"10,065"
Fujitsu Ltd,NAN,"126,371"
"American Water Works Company, Inc.",NAN,"6,400"
"CBRE Group, Inc.",NAN,"105,000"
Fifth Third Bancorp,NAN,"19,112"
BAE Systems plc,NAN,"89,600"
Ferguson plc,NAN,"31,000"
Zhangzhou Pientzehuang Pharmaceutical. Ltd,NAN,"2,526"
Formosa Petrochemical Corp,NAN,NAN
Koninklijke DSM N.V.,NAN,"21,358"
Swisscom AG,NAN,"18,905"
Biogen Inc.,NAN,"9,610"
Japan Post Holdings Co. Ltd,NAN,"243,612"
CRH plc,NAN,"77,400"
China Telecom Corp Ltd,NAN,"278,922"
Eversource Energy,NAN,"9,227"
Foxconn Industrial Internet Co. Ltd,NAN,"196,159"
"Japan Tobacco, Inc.",NAN,"55,381"
Corning Incorporated,NAN,"61,200"
Goodman Group,NAN,941
"ONEOK, Inc.",NAN,"2,847"
Mettler-Toledo International Inc.,NAN,"15,600"
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,NAN,"20,817"
"PPG Industries, Inc.",NAN,"49,300"
"JAPAN POST BANK Co.,Ltd.",NAN,"12,451"
Longfor Group Holdings Ltd,NAN,"44,065"
Great Wall Motor Co Ltd,NAN,"63,174"
PACCAR Inc,NAN,"28,500"
WEG SA,NAN,"36,987"
Brown-Forman Corporation,NAN,"4,700"
