CompanyName,MarketCap,EmployeesTotalAmount
erg spa,4.662,NAN
tikehau capital,4.650,NAN
ams ag,4.642,30000
aedifica sa,4.635,NAN
hicl infrastructure,4.627,491
siltronic ag,4.619,3800
arrival,4.577,1300
ses,4.573,2159
interparfums sa,4.563,396
adient,4.557,77000
huhtamaki oyj,4.547,18600
compagnie du cambodge,4.547,NAN
aurubis ag,4.531,7400
financiere de tubize sa,4.507,NAN
greencoat uk wind,4.459,NAN
stroer se & co. kgaa,4.454,13000
stadler rail ag,4.454,8500
salvatore ferragamo,4.452,NAN
nexans s.a.,4.438,NAN
softcat,4.436,1500
nordnet ab (publ),4.432,NAN
smithson investment trust,4.429,NAN
moscow exchange micex-rts,4.424,NAN
games workshop group,4.421,2436
corem property group ab (publ),4.412,NAN
dometic group ab (publ),4.403,NAN
aperam,4.398,9500
livanova,4.395,4000
vopak,4.389,5688
petershill partners plc,4.350,NAN
strabag se,4.343,NAN
federal hydro-generating company - rushydro,4.341,NAN
tate & lyle,4.337,4193
3i infrastructure,4.337,NAN
nexans,4.331,NAN
acea spa,4.306,NAN
spie sa,4.306,45500
"diversey holdings, ltd.",4.301,8500
pennon group,4.299,5239
addlife ab (publ),4.280,NAN
computacenter,4.278,NAN
brederode sa,4.276,NAN
rheinmetall ag,4.261,25767
alliance trust,4.254,NAN
greggs,4.240,19000
telenet group holding nv,4.230,NAN
mayr-melnhof karton ag,4.227,9938
ihs holding ltd,4.225,NAN
raspadskaya,4.221,NAN
laboratorios farmaceuticos rovi,4.216,NAN
buzzi unicem,4.211,NAN
simcorp a/s,4.206,1901
rotork,4.205,3400
united aircraft corporation,4.201,NAN
wienerberger ag,4.180,NAN
banco de sabadell,4.173,23458
neoen,4.172,255
monks investment trust,4.159,NAN
man group,4.159,1456
leonardo,4.149,49882
vz holding ag,4.149,1030
s4 capital,4.138,NAN
the renewables infrastructure group limited,4.116,NAN
polypeptide group ag,4.115,973
entra asa,4.114,NAN
inter rao ues,4.114,NAN
genus,4.111,NAN
big yellow group,4.106,361
grupo catalana occidente,4.097,7587
nepi rockcastle,4.082,NAN
iwg,4.055,12000
fevertree drinks,4.055,NAN
verbio vereinigte bioenergie ag,4.053,NAN
arcadis nv,4.036,28000
hugo boss ag,4.034,NAN
veoneer,4.033,NAN
beazley,4.019,NAN
trigano,4.007,10021
investec group,4.001,NAN
elis sa,3.987,45000
metro ag,3.977,97639
safestore holdings,3.966,700
kbc ancora sca,3.963,NAN
public power corporation s.a.,3.954,13832
sparebank 1 sr-bank asa,3.953,969
unipol gruppo,3.952,11836
international public partnerships ld,3.947,NAN
alstria office reit-ag,3.946,167
azimut holding,3.936,1162
sectra ab (publ),3.932,820
billerudkorsnas ab (publ),3.931,4407
ringkjobing landbobank a/s,3.924,626
tag immobilien ag,3.922,1354
cie automotive,3.919,NAN
compagnie plastic omnium sa,3.916,31000
grafton group plc,3.903,NAN
siegfried holding ag,3.898,3500
also holding ag,3.895,4081
zooplus ag,3.893,NAN
homeserve,3.887,NAN
alkermes,3.883,2245
lagardere sca,3.864,NAN
eurobank ergasias,3.861,NAN
societe fonciere lyonnaise sa,3.856,75
lenzing,3.855,NAN
luzerner kantonalbank ag,3.853,1049
royal boskalis westminster,3.847,7484
iren spa,3.846,8000
grand city properties,3.841,800
vienna insurance group ag,3.839,25000
dottikon es holding ag,3.824,630
nordic entertainment group ab (publ),3.820,1900
atlantica yield,3.805,NAN
virbac sa,3.803,4900
altarea,3.798,NAN
altarea sca,3.798,1983
ca immobilien anlagen ag,3.782,NAN
pge polska grupa energetyczna,3.770,40141
dmg mori aktiengesellschaft,3.770,12160
"zardoya otis, s.a.",3.770,NAN
jyske bank a/s,3.761,3593
dunelm group,3.741,6519
compugroup medical societas europaea,3.730,NAN
o2 czech republic,3.720,4993
p/f bakkafrost,3.709,1699
darktrace plc,3.707,900
prosiebensat.1 media se,3.706,NAN
acerinox,3.679,8331
peab ab (publ),3.663,15000
metsa board oyj,3.661,2389
galenica ag,3.659,7048
virgin money uk,3.657,8613
oberbank ag,3.656,NAN
londonmetric property,3.638,NAN
bovis homes group,3.637,NAN
tietoevry corporation,3.631,23632
thg plc,3.624,7000
compagnie d'entreprises cfe sa,3.624,NAN
mainova ag,3.624,2853
fortnox ab (publ),3.623,NAN
jet2 plc,3.610,NAN
tietoevry oyj,3.609,23632
vistry group,3.592,1227
imerys,3.592,16300
sopra steria group sa,3.572,46000
interroll holding ag,3.564,NAN
rostelecom,3.556,NAN
iss a/s,3.545,471056
reinet investments,3.545,NAN
k+s,3.534,NAN
idorsia ltd,3.531,NAN
bnp paribas bank polska s.a.,3.503,NAN
saab ab (publ),3.501,NAN
corporacion financiera alba,3.501,1783
allreal holding ag,3.484,NAN
qt group oyj,3.456,NAN
tradegate ag wertpapierhandelsbank,3.452,NAN
pierer mobility ag,3.440,4586
rothschild & co sca,3.440,3500
quilter,3.426,4325
hypoport ag,3.426,2049
freenet ag,3.412,4004
britvic,3.408,4460
oc oerlikon corporation ag,3.404,NAN
q-linea ab (publ),3.403,200
galapagos nv,3.397,1319
inficon holding ag,3.374,NAN
cargotec corporation,3.368,11552
krones ag,3.362,NAN
onesavings bank,3.353,1828
gaztransport & technigaz sa,3.346,553
hays,3.344,11377
korian,3.310,NAN
basic-fit,3.307,5110
cint group ab (publ),3.301,299
kuka,3.300,13676
wihlborgs fastigheter ab (publ),3.297,236
redrow,3.283,2368
konecranes,3.269,NAN
sulzer ltd,3.263,15054
durr,3.263,NAN
bure equity ab (publ),3.254,350
rubis,3.253,NAN
fromageries bel sa,3.250,NAN
forbo holding ag,3.242,5317
ninety one,3.236,NAN
drax group,3.236,3015
softwareone holding ag,3.235,NAN
shaftesbury,3.229,NAN
sudzucker ag,3.193,20129
sngn romgaz sa,3.167,NAN
intrum ab (publ),3.164,NAN
harbourvest global private equity limited,3.158,NAN
playtech,3.142,NAN
immofinanz ag,3.140,325
rws holdings,3.132,NAN
national bank of greece,3.128,9107
grainger,3.119,23100
vimian group ab (publ),3.108,NAN
air france-klm sa,3.096,82132
countryside properties,3.094,NAN
jm ab (publ),3.089,NAN
pets at home group,3.089,NAN
technipfmc,3.087,37966
mips ab (publ),3.077,NAN
itm power,3.077,190
arjo ab (publ),3.076,NAN
ultra electronics holdings,3.070,4500
the schiehallion fund limited,3.069,NAN
bper banca,3.061,13550
sistema public joint stock financial corporation,3.061,NAN
nyfosa ab (publ),3.059,67
credit bank of moscow (public joint-stock company),3.059,9000
worldwide healthcare trust,3.051,333
rosseti,3.047,NAN
alpha bank,3.045,10528
swissquote group holding ltd,3.039,NAN
nolato ab (publ),3.030,NAN
befesa,3.027,1137
lem holding sa,3.015,NAN
argan sa,3.013,NAN
dfds a/s,3.009,8213
outokumpu oyj,3.004,9915
af poyry ab (publ),2.997,17000
veon,2.991,46492
osterreichische post ag,2.989,NAN
valaris,2.985,4500
public joint stock oil company bashneft,2.985,NAN
asos,2.984,3824
covivio hotels societe anonyme,2.979,NAN
gestamp automocion,2.978,NAN
sesa,2.970,NAN
caledonia investments,2.963,NAN
bystronic ag,2.958,NAN
close brothers group,2.954,3000
viscofan,2.953,4609
ebro foods,2.944,NAN
hufvudstaden ab (publ),2.943,NAN
casino guichard-perrachon societe anonyme,2.928,NAN
fondul proprietatea sa,2.921,NAN
medacta group sa,2.918,NAN
pandox ab (publ),2.912,NAN
vidrala,2.905,3500
troax group ab (publ),2.898,NAN
europcar mobility group,2.890,8999
uniqa insurance group ag,2.888,NAN
ramsay generale de sante sa,2.884,NAN
carel industries,2.883,NAN
st. galler kantonalbank ag,2.878,NAN
