CompanyName,MarketCap,EmployeesTotalAmount
Teleperformance SE,22.30,"420,000"
"Bio-Rad Laboratories, Inc.",22.32,"7,900"
Hennes & Mauritz AB,22.33,"155,000"
Banco do Brasil SA,22.36,"84,597"
Tata Motors Limited,22.38,"75,278"
Sumitomo Corp,22.42,"74,920"
China National Nuclear Power Co. Ltd,22.42,"14,506"
"Okta, Inc.",22.45,"5,030"
EMS-CHEMIE HOLDING AG,22.48,"2,646"
"Essex Property Trust, Inc.",22.51,"1,739"
Coca-Cola Europacific Partners plc,22.53,"22,000"
The Hong Kong and China Gas Company Ltd,22.54,"55,302"
Komatsu Ltd,22.56,"61,564"
Grupo Financiero Banorte SAB de CV,22.60,NAN
PICC Property and Casualty Company Ltd,22.62,"171,508"
Kellogg Company,22.63,"31,000"
Hewlett Packard Enterprise Company,22.65,"60,400"
Shanghai International Port,22.65,"14,068"
UCB SA,22.71,"8,600"
Panasonic Corp,22.73,"240,786"
Eurofins Scientific SE,22.75,"57,992"
Sociedad Química y Minera de Chile SA,22.77,"6,081"
Epiroc AB,24.08,"15,529"
Vulcan Materials Company,24.08,"11,912"
BT Group plc,24.09,"99,700"
FUJIFILM Holdings Corp,24.12,"73,275"
Fresenius SE & Co KGaA,24.12,"316,078"
"Mid-America Apartment Communities, Inc.",24.18,"2,429"
"Slack Technologies, Inc.",24.30,"1,664"
Northern Trust Corporation,24.42,"21,100"
XPeng Inc.,24.44,"5,084"
"Aena S.M.E., SA",24.45,"8,162"
